type_name,kind,owner,file,line,definition_kind,pub_use
ObservationStatus,struct,forge-pilot,forge-pilot/src/observe.rs,104,local_def,
ScopeHealthSummary,struct,forge-pilot,forge-pilot/src/observe.rs,123,local_def,
Observation,struct,forge-pilot,forge-pilot/src/observe.rs,141,local_def,
PatchPlanSeed,struct,forge-pilot,forge-pilot/src/config.rs,12,local_def,
LoopConfig,struct,forge-pilot,forge-pilot/src/config.rs,25,local_def,
TargetPriority,enum,forge-pilot,forge-pilot/src/targets.rs,14,local_def,
TargetKind,enum,forge-pilot,forge-pilot/src/targets.rs,32,local_def,
CanonicalCaseClass,enum,forge-pilot,forge-pilot/src/types.rs,14,local_def,
BudgetClass,enum,forge-pilot,forge-pilot/src/types.rs,27,local_def,
LawfulStepKind,enum,forge-pilot,forge-pilot/src/types.rs,38,local_def,
TargetNormalization,struct,forge-pilot,forge-pilot/src/types.rs,55,local_def,
PlannedStep,struct,forge-pilot,forge-pilot/src/types.rs,69,local_def,
BlockedStepRecord,struct,forge-pilot,forge-pilot/src/types.rs,78,local_def,
DecisionAudit,struct,forge-pilot,forge-pilot/src/types.rs,85,local_def,
ExecutionLineageReceipt,struct,forge-pilot,forge-pilot/src/types.rs,102,local_def,
ExportActionTraceV1,struct,forge-pilot,forge-pilot/src/types.rs,119,local_def,
StopRuleEvaluation,struct,forge-pilot,forge-pilot/src/types.rs,132,local_def,
RepairClassV1,enum,forge-pilot,forge-pilot/src/types.rs,144,local_def,
VerificationPlanArtifact,struct,forge-pilot,forge-pilot/src/types.rs,160,local_def,
RepairRecordV1,struct,forge-pilot,forge-pilot/src/types.rs,197,local_def,
LoopRunnerResources,struct,forge-pilot,forge-pilot/src/loop_runner.rs,58,local_def,
ExternalHaltFlag,struct,forge-pilot,forge-pilot/src/loop_runner.rs,85,local_def,
LoopRunner,struct,forge-pilot,forge-pilot/src/loop_runner.rs,101,local_def,
HaltReason,enum,forge-pilot,forge-pilot/src/loop_runner_report.rs,34,local_def,
LoopBudgetReceipt,struct,forge-pilot,forge-pilot/src/loop_runner_report.rs,56,local_def,
LoopReceipt,struct,forge-pilot,forge-pilot/src/loop_runner_report.rs,66,local_def,
LoopIterationReport,struct,forge-pilot,forge-pilot/src/loop_runner_report.rs,99,local_def,
LoopReport,struct,forge-pilot,forge-pilot/src/loop_runner_report.rs,146,local_def,
,pub_use,forge-pilot,forge-pilot/src/lib.rs,47,pub_use,"config::{LoopConfig, PatchPlanSeed}"
,pub_use,forge-pilot,forge-pilot/src/lib.rs,48,pub_use,"decide::{select_candidate, Decision}"
,pub_use,forge-pilot,forge-pilot/src/lib.rs,49,pub_use,error::PilotError
,pub_use,forge-pilot,forge-pilot/src/lib.rs,61,pub_use,"history::{PilotHistory, TargetAttemptRecord, TargetHistoryEntry}"
,pub_use,forge-pilot,forge-pilot/src/lib.rs,71,pub_use,"observe::{observe_scope, Observation, ObservationDegradation, ScopeHealthSummary}"
,pub_use,forge-pilot,forge-pilot/src/lib.rs,72,pub_use,"orient::{extract_targets, score_targets, TargetCandidate}"
,pub_use,forge-pilot,forge-pilot/src/lib.rs,79,pub_use,"targets::{TargetKind, TargetPriority}"
GovernanceMode,enum,forge-pilot,forge-pilot/src/governance_gate.rs,55,local_def,
GovernanceGateError,enum,forge-pilot,forge-pilot/src/governance_gate.rs,70,local_def,
GovernanceObservation,struct,forge-pilot,forge-pilot/src/governance_gate.rs,81,local_def,
GovernanceDegradation,struct,forge-pilot,forge-pilot/src/governance_gate.rs,107,local_def,
GovernanceGateResult,enum,forge-pilot,forge-pilot/src/governance_gate.rs,116,local_def,
GovernanceReceiptV1,struct,forge-pilot,forge-pilot/src/governance_gate.rs,127,local_def,
GovernanceObservationSummary,struct,forge-pilot,forge-pilot/src/governance_gate.rs,135,local_def,
AdvisoryPlan,struct,forge-pilot,forge-pilot/src/act.rs,33,local_def,
PlanKind,enum,forge-pilot,forge-pilot/src/act.rs,42,local_def,
ActionFamily,enum,forge-pilot,forge-pilot/src/act.rs,89,local_def,
OracleExecution,struct,forge-pilot,forge-pilot/src/act.rs,97,local_def,
PatchExecution,struct,forge-pilot,forge-pilot/src/act.rs,174,local_def,
ActionOutcome,struct,forge-pilot,forge-pilot/src/act.rs,182,local_def,
TargetAttemptRecord,struct,forge-pilot,forge-pilot/src/history.rs,6,local_def,
TargetHistoryEntry,struct,forge-pilot,forge-pilot/src/history.rs,13,local_def,
PilotHistory,struct,forge-pilot,forge-pilot/src/history.rs,23,local_def,
TargetCandidate,struct,forge-pilot,forge-pilot/src/orient.rs,17,local_def,
DerivedRecord,struct,forge-pilot,forge-pilot/tests/bootstrap_rust_extractor_degradation_tests.rs,26,local_def,
,pub_use,forge-pilot,forge-pilot/src/bootstrap/mod.rs,27,pub_use,"manifest::{compute_manifest_delta, manifest_from_batch}"
BootstrapSourceRichness,enum,forge-pilot,forge-pilot/src/bootstrap/types.rs,17,local_def,
BootstrapCapabilityStatus,enum,forge-pilot,forge-pilot/src/bootstrap/types.rs,26,local_def,
BootstrapSymbolPrecision,enum,forge-pilot,forge-pilot/src/bootstrap/types.rs,34,local_def,
BootstrapSymbolCapability,struct,forge-pilot,forge-pilot/src/bootstrap/types.rs,40,local_def,
BootstrapChunkPolicyInfo,struct,forge-pilot,forge-pilot/src/bootstrap/types.rs,50,local_def,
BootstrapSourceDeltaSummary,struct,forge-pilot,forge-pilot/src/bootstrap/types.rs,58,local_def,
BootstrapDerivedDeltaSummary,struct,forge-pilot,forge-pilot/src/bootstrap/types.rs,66,local_def,
BootstrapSourceSkippedFile,struct,forge-pilot,forge-pilot/src/bootstrap/types.rs,74,local_def,
BootstrapSourceObservation,struct,forge-pilot,forge-pilot/src/bootstrap/types.rs,80,local_def,
BootstrapRichness,enum,forge-pilot,forge-pilot/src/bootstrap/types.rs,93,local_def,
BootstrapCurrentState,struct,forge-pilot,forge-pilot/src/bootstrap/types.rs,111,local_def,
BootstrapDeltaSummary,struct,forge-pilot,forge-pilot/src/bootstrap/types.rs,152,local_def,
BootstrapSourceReport,struct,forge-pilot,forge-pilot/src/bootstrap/types.rs,160,local_def,
SymbolRecord,struct,forge-pilot,forge-pilot/src/bootstrap/types.rs,210,local_def,
BootstrapManifestFile,struct,forge-pilot,forge-pilot/src/bootstrap/types.rs,232,local_def,
BootstrapManifestSnapshot,struct,forge-pilot,forge-pilot/src/bootstrap/types.rs,249,local_def,
BootstrapManifestDelta,struct,forge-pilot,forge-pilot/src/bootstrap/types.rs,264,local_def,
RepoQuestionRoute,enum,forge-pilot,forge-pilot/src/repo_chat/types.rs,7,local_def,
RepoChatGroundingMode,enum,forge-pilot,forge-pilot/src/repo_chat/types.rs,26,local_def,
RepoChatEvidenceType,enum,forge-pilot,forge-pilot/src/repo_chat/types.rs,37,local_def,
RepoChatEvidence,struct,forge-pilot,forge-pilot/src/repo_chat/types.rs,47,local_def,
RepoChatCitation,struct,forge-pilot,forge-pilot/src/repo_chat/types.rs,64,local_def,
RepoChatAnswer,struct,forge-pilot,forge-pilot/src/repo_chat/types.rs,74,local_def,
BridgeReferenceInterpretation,struct,kernel-conformance,kernel-conformance/src/reference_interpreters.rs,37,local_def,
BitemporalReferenceInterpretation,struct,kernel-conformance,kernel-conformance/src/reference_interpreters.rs,70,local_def,
BoundedKernelSliceInterpretation,struct,kernel-conformance,kernel-conformance/src/reference_interpreters.rs,95,local_def,
RepairReplayInterpretation,struct,kernel-conformance,kernel-conformance/src/reference_interpreters.rs,118,local_def,
CausalWorkflowInterpretation,struct,kernel-conformance,kernel-conformance/src/reference_interpreters.rs,274,local_def,
ExecutionMode,enum,kernel-execution,kernel-execution/src/lib.rs,13,local_def,
ExecutionStopReason,enum,kernel-execution,kernel-execution/src/lib.rs,23,local_def,
SchedulerStageKind,enum,kernel-execution,kernel-execution/src/lib.rs,33,local_def,
WorkloadClass,enum,kernel-execution,kernel-execution/src/lib.rs,42,local_def,
ExecutionBudget,struct,kernel-execution,kernel-execution/src/lib.rs,49,local_def,
NodeBelief,struct,kernel-execution,kernel-execution/src/lib.rs,68,local_def,
ConstraintMessage,struct,kernel-execution,kernel-execution/src/lib.rs,75,local_def,
ResidualSample,struct,kernel-execution,kernel-execution/src/lib.rs,83,local_def,
ExecutionWitnessArtifact,struct,kernel-execution,kernel-execution/src/lib.rs,89,local_def,
ExecutionCertificateArtifact,struct,kernel-execution,kernel-execution/src/lib.rs,96,local_def,
ExecutionCalibrationReport,struct,kernel-execution,kernel-execution/src/lib.rs,103,local_def,
RecomputeTrigger,enum,kernel-execution,kernel-execution/src/lib.rs,111,local_def,
InvalidationManifest,struct,kernel-execution,kernel-execution/src/lib.rs,122,local_def,
RegionExecutionTrace,struct,kernel-execution,kernel-execution/src/lib.rs,130,local_def,
ConvergenceGovernance,struct,kernel-execution,kernel-execution/src/lib.rs,139,local_def,
ConvergenceReport,struct,kernel-execution,kernel-execution/src/lib.rs,148,local_def,
DeltaPropagationReport,struct,kernel-execution,kernel-execution/src/lib.rs,157,local_def,
ScheduledExecution,struct,kernel-execution,kernel-execution/src/lib.rs,167,local_def,
ExecutionReport,struct,kernel-execution,kernel-execution/src/lib.rs,175,local_def,
OracleMode,enum,kernel-oracles,kernel-oracles/src/lib.rs,11,local_def,
OracleSliceSelectionPolicy,struct,kernel-oracles,kernel-oracles/src/lib.rs,17,local_def,
